Name,marked_point
p_picks_Exp_T018_Run3_Traces_EventID_15_trace1,122325
p_picks_Exp_T018_Run3_Traces_EventID_15_trace2,122632
p_picks_Exp_T018_Run3_Traces_EventID_15_trace3,122702
p_picks_Exp_T018_Run3_Traces_EventID_15_trace4,123253
p_picks_Exp_T018_Run3_Traces_EventID_15_trace5,121193
p_picks_Exp_T018_Run3_Traces_EventID_15_trace6,121468
p_picks_Exp_T018_Run3_Traces_EventID_15_trace7,121304
p_picks_Exp_T018_Run3_Traces_EventID_15_trace8,124367
p_picks_Exp_T018_Run3_Traces_EventID_15_trace9,123757
